,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
3,2026/01/25,WAS,12,Tre Johnson,PT36M33.00S,26,6,0,0,0,2,2,0.36363636363636404,0.28571428571428603,0.4,6,15,2,7,4,5,-2.0
4,2026/01/25,WAS,7,Bub Carrington,PT32M15.70S,15,8,3,1,0,2,2,0.45454545454545503,0.0,0.45454545454545503,5,11,0,0,0,0,-12.0
5,2026/01/25,WAS,9,Justin Champagnie,PT32M07.00S,15,3,11,3,2,2,1,0.777777777777778,1.0,0.333333333333333,1,3,6,6,0,0,4.0
6,2026/01/25,WAS,5,Jamir Watkins,PT28M48.90S,11,3,6,5,2,0,5,0.444444444444444,0.75,0.2,1,5,3,4,2,2,12.0
7,2026/01/25,WAS,16,Anthony Gill,PT07M16.30S,0,2,0,0,0,1,2,0.0,0.0,0.0,0,1,0,0,0,0,12.0
8,2026/01/25,WAS,13,Sharife Cooper,PT09M28.00S,3,1,0,1,0,1,1,1.0,0.0,1.0,1,1,0,0,0,0,6.0
9,2026/01/25,WAS,8,Malaki Branham,PT07M31.00S,3,2,2,0,0,1,1,0.333333333333333,0.0,1.0,1,1,0,2,0,0,8.0
10,2026/01/25,CHA,7,Kon Knueppel,PT31M54.00S,16,3,4,1,0,1,1,0.45454545454545503,0.666666666666666,0.375,3,8,2,3,3,4,-9.0
11,2026/01/25,CHA,0,Miles Bridges,PT28M52.90S,20,4,3,0,2,2,2,0.538461538461538,0.666666666666666,0.428571428571429,3,7,4,6,3,5,3.0
12,2026/01/25,CHA,14,Moussa Diabaté,PT32M04.00S,11,0,14,1,0,2,0,0.666666666666666,0.666666666666666,0.0,0,0,2,3,7,8,13.0
13,2026/01/25,CHA,24,Brandon Miller,PT33M20.00S,21,7,11,1,0,5,0,0.583333333333333,0.625,0.5,2,4,5,8,5,5,15.0
14,2026/01/25,CHA,1,LaMelo Ball,PT31M36.30S,20,11,2,1,0,3,2,0.42105263157894696,0.5,0.333333333333333,3,9,5,10,1,1,6.0
15,2026/01/25,CHA,10,Josh Green,PT15M07.00S,6,0,2,0,0,1,3,1.0,0.0,1.0,2,2,0,0,0,0,10.0
16,2026/01/25,CHA,2,Grant Williams,PT19M07.10S,2,1,1,1,0,1,0,0.25,0.5,0.0,0,2,1,2,0,0,1.0
17,2026/01/25,CHA,4,Sion James,PT16M23.70S,6,2,5,0,0,4,1,0.4,0.666666666666666,0.0,0,2,2,3,2,3,-2.0
18,2026/01/25,CHA,11,Ryan Kalkbrenner,PT15M56.00S,8,0,3,0,1,0,1,1.0,1.0,0.0,0,0,4,4,0,2,-9.0
19,2026/01/25,CHA,8,Collin Sexton,PT15M39.00S,9,2,1,3,0,2,0,0.5,0.5,0.5,1,2,2,4,2,2,-8.0
20,2026/01/25,NYK,3,Josh Hart,PT36M33.00S,10,7,13,0,1,1,3,0.444444444444444,0.5,0.333333333333333,1,3,3,6,1,5,5.0
21,2026/01/25,NYK,8,OG Anunoby,PT36M24.00S,23,4,7,2,0,2,0,0.666666666666666,0.666666666666666,0.666666666666666,2,3,8,12,1,2,-8.0
22,2026/01/25,NYK,32,Karl-Anthony Towns,PT16M01.20S,10,1,6,0,1,2,6,0.5,0.5,0.5,1,2,1,2,5,7,-6.0
23,2026/01/25,NYK,25,Mikal Bridges,PT28M49.80S,9,4,3,0,0,2,1,0.1875,0.28571428571428603,0.111111111111111,1,9,2,7,2,2,4.0
24,2026/01/25,NYK,11,Jalen Brunson,PT37M55.40S,31,6,5,0,0,2,3,0.458333333333333,0.416666666666667,0.5,6,12,5,12,3,5,7.0
25,2026/01/25,NYK,23,Mitchell Robinson,PT26M38.80S,6,0,10,2,2,0,4,0.75,0.75,0.0,0,0,3,4,0,0,14.0
26,2026/01/25,NYK,28,Guerschon Yabusele,PT02M50.00S,0,1,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
27,2026/01/25,NYK,44,Landry Shamet,PT24M30.80S,12,2,4,0,0,1,1,0.444444444444444,0.5,0.428571428571429,3,7,1,2,1,2,3.0
28,2026/01/25,NYK,2,Miles McBride,PT26M11.00S,9,2,1,2,0,0,3,0.272727272727273,0.666666666666666,0.125,1,8,2,3,2,4,-1.0
29,2026/01/25,NYK,55,Ariel Hukporti,PT04M06.00S,2,0,3,0,1,0,1,1.0,1.0,0.0,0,0,1,1,0,0,-3.0
30,2026/01/25,PHI,9,Kelly Oubre Jr.,PT37M14.00S,14,3,7,2,0,1,2,0.5,0.666666666666666,0.25,1,4,4,6,3,5,-3.0
31,2026/01/25,PHI,8,Paul George,PT32M17.90S,9,2,6,2,0,1,2,0.3,0.428571428571429,0.0,0,3,3,7,3,3,-2.0
32,2026/01/25,PHI,21,Joel Embiid,PT36M24.10S,38,5,11,0,1,4,2,0.619047619047619,0.625,0.6,3,5,10,16,9,12,-3.0
33,2026/01/25,PHI,77,VJ Edgecombe,PT39M13.00S,14,4,3,1,0,2,5,0.555555555555556,0.8,0.25,1,4,4,5,3,4,1.0
34,2026/01/25,PHI,0,Tyrese Maxey,PT38M04.00S,22,6,3,2,1,3,4,0.533333333333333,0.625,0.428571428571429,3,7,5,8,3,3,-7.0
35,2026/01/25,PHI,25,Dominick Barlow,PT16M37.40S,4,1,2,0,0,0,0,0.5,0.0,0.5,1,2,0,0,1,2,-2.0
36,2026/01/25,PHI,5,Quentin Grimes,PT18M51.60S,4,3,3,0,1,0,1,0.333333333333333,1.0,0.0,0,4,2,2,0,0,0.0
