PLAYER,PLAYER_ID,TEAM,EXECUTION_DATE,GP,A_MIN,A_FGA,FG_%,A_3,3_%,A_2,2_%,A_FTA,FT_%,A_PTS,A_REB,A_OREB,A_DREB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_EFF,AST_TOV,STL_TOV,MIN,FGM,FGA,FG3M,FG3A,FG2M,FG2A,FTM,FTA,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,EFF
Gabe Vincent,1629216,LAL,2026/01/20,21.0,20.095238095238095,4.904761904761905,0.3300970873786408,3.857142857142857,0.35802469135802467,1.0476190476190477,0.22727272727272727,0.38095238095238093,1.0,5.0,0.9047619047619048,0.2857142857142857,0.6190476190476191,1.380952380952381,0.42857142857142855,0.047619047619047616,0.42857142857142855,2.238095238095238,4.0476190476190474,3.22,1.0,422.0,34.0,103.0,29.0,81.0,5.0,22.0,8.0,8.0,105.0,19.0,6.0,13.0,29.0,9.0,1.0,9.0,47.0,85.0
Garrett Temple,202066,TOR,2026/01/20,11.0,2.909090909090909,0.6363636363636364,0.14285714285714285,0.45454545454545453,0.2,0.18181818181818182,0.0,0.18181818181818182,0.5,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.45454545454545453,1.0,1.0,32.0,1.0,7.0,1.0,5.0,0.0,2.0,1.0,2.0,4.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,2.0,5.0
Garrison Mathews,1629726,IND,2026/01/20,15.0,13.066666666666666,3.466666666666667,0.40384615384615385,3.066666666666667,0.3695652173913043,0.4,0.6666666666666666,1.5333333333333334,0.8260869565217391,5.2,1.1333333333333333,0.13333333333333333,1.0,0.6666666666666666,0.4,0.2,0.2,1.2666666666666666,5.066666666666666,3.33,2.0,196.0,21.0,52.0,17.0,46.0,4.0,6.0,19.0,23.0,78.0,17.0,2.0,15.0,10.0,6.0,3.0,3.0,19.0,76.0
Gary Harris,203914,MIL,2026/01/20,32.0,14.625,1.9375,0.5,1.15625,0.4864864864864865,0.78125,0.52,0.21875,1.0,2.71875,1.5,0.28125,1.21875,1.03125,0.625,0.15625,0.40625,1.1875,4.65625,2.54,1.54,468.0,31.0,62.0,18.0,37.0,13.0,25.0,7.0,7.0,87.0,48.0,9.0,39.0,33.0,20.0,5.0,13.0,38.0,149.0
Gary Payton II,1627780,GSW,2026/01/20,41.0,12.707317073170731,4.073170731707317,0.5449101796407185,1.0975609756097562,0.26666666666666666,2.975609756097561,0.6475409836065574,0.2926829268292683,0.5833333333333334,4.902439024390244,3.268292682926829,1.1219512195121952,2.1463414634146343,1.6341463414634145,0.5365853658536586,0.3170731707317073,0.8536585365853658,1.4878048780487805,7.829268292682927,1.91,0.63,521.0,91.0,167.0,12.0,45.0,79.0,122.0,7.0,12.0,201.0,134.0,46.0,88.0,67.0,22.0,13.0,35.0,61.0,321.0
Gary Trent Jr.,1629018,MIL,2026/01/20,39.0,24.641025641025642,7.641025641025641,0.37919463087248323,5.512820512820513,0.3581395348837209,2.128205128205128,0.43373493975903615,0.8461538461538461,0.8181818181818182,8.461538461538462,1.2564102564102564,0.1282051282051282,1.1282051282051282,1.5897435897435896,0.6666666666666666,0.05128205128205128,0.6153846153846154,1.435897435897436,6.512820512820513,2.58,1.08,961.0,113.0,298.0,77.0,215.0,36.0,83.0,27.0,33.0,330.0,49.0,5.0,44.0,62.0,26.0,2.0,24.0,56.0,254.0
Giannis Antetokounmpo,203507,MIL,2026/01/20,28.0,29.035714285714285,16.714285714285715,0.6452991452991453,1.3571428571428572,0.39473684210526316,15.357142857142858,0.6674418604651163,9.857142857142858,0.6485507246376812,28.5,9.785714285714286,2.892857142857143,6.892857142857143,5.5,0.9285714285714286,0.7857142857142857,3.3214285714285716,2.6785714285714284,32.785714285714285,1.66,0.28,813.0,302.0,468.0,15.0,38.0,287.0,430.0,179.0,276.0,798.0,274.0,81.0,193.0,154.0,26.0,22.0,93.0,75.0,918.0
Goga Bitadze,1629048,ORL,2026/01/20,38.0,16.842105263157894,3.710526315789474,0.6879432624113475,0.2631578947368421,0.2,3.4473684210526314,0.7251908396946565,1.368421052631579,0.7307692307692307,6.157894736842105,5.2894736842105265,2.1842105263157894,3.1052631578947367,1.263157894736842,0.7894736842105263,1.236842105263158,0.5789473684210527,2.236842105263158,12.631578947368421,2.18,1.36,640.0,97.0,141.0,2.0,10.0,95.0,131.0,38.0,52.0,234.0,201.0,83.0,118.0,48.0,30.0,47.0,22.0,85.0,480.0
Gradey Dick,1641711,TOR,2026/01/20,44.0,16.068181818181817,5.363636363636363,0.4152542372881356,2.8636363636363638,0.30158730158730157,2.5,0.5454545454545454,1.2954545454545454,0.8421052631578947,6.409090909090909,2.1818181818181817,0.5909090909090909,1.5909090909090908,0.7045454545454546,0.6363636363636364,0.11363636363636363,0.5,1.4090909090909092,6.204545454545454,1.41,1.27,707.0,98.0,236.0,38.0,126.0,60.0,110.0,48.0,57.0,282.0,96.0,26.0,70.0,31.0,28.0,5.0,22.0,62.0,273.0
Grant Williams,1629684,CHA,2026/01/20,4.0,14.5,4.75,0.42105263157894735,4.0,0.3125,0.75,1.0,1.5,0.8333333333333334,6.5,3.25,1.0,2.25,0.5,0.25,0.5,0.25,0.75,7.75,2.0,1.0,58.0,8.0,19.0,5.0,16.0,3.0,3.0,5.0,6.0,26.0,13.0,4.0,9.0,2.0,1.0,2.0,1.0,3.0,31.0
